Wavelength [nm],Intensity [a.u.]
895.6122703735518,994.0
895.7574752021552,990.0
895.9026496124898,1006.0
896.0477935480819,994.0
896.1929069524581,1002.0
896.3379897691443,1006.0
896.4830419416671,979.0
896.6280634135527,1013.0
896.7730541283274,1021.0
896.9180140295176,1002.0
897.0629430606496,1006.0
897.2078411652495,1009.0
897.3527082868438,979.0
897.4975443689588,998.0
897.6423493551206,998.0
897.7871231888557,994.0
897.9318658136904,1051.0
898.076577173151,1009.0
898.2212572107637,1002.0
898.3659058700549,994.0
898.510523094551,987.0
898.655108827778,994.0
898.7996630132625,990.0
898.9441855945306,1009.0
899.0886765151088,1002.0
899.2331357185233,983.0
899.3775631483004,1002.0
899.5219587479664,1002.0
899.6663224610477,990.0
899.8106542310704,1009.0
899.954954001561,975.0
900.0992217160457,998.0
900.2434573180508,990.0
900.3876607511028,979.0
900.5318319587277,998.0
900.675970884452,1013.0
900.820077471802,998.0
900.9641516643039,1006.0
901.1081934054841,998.0
901.2522026388689,1002.0
901.3961793079845,1002.0
901.5401233563574,990.0
901.6840347275138,990.0
901.82791336498,1036.0
901.9717592122822,987.0
902.1155722129469,998.0
902.2593523105002,994.0
902.4030994484685,983.0
902.5468135703782,1013.0
902.6904946197556,994.0
902.8341425401268,998.0
902.9777572750182,994.0
903.1213387679563,987.0
903.2648869624671,1009.0
903.4084018020772,1002.0
903.5518832303126,1002.0
903.6953311906998,1006.0
903.8387456267651,1006.0
903.9821264820348,998.0
904.1254737000352,987.0
904.2687872242925,1002.0
904.4120669983331,983.0
904.5553129656832,990.0
904.6985250698693,994.0
904.8417032544176,1013.0
904.9848474628544,996.0
905.127957638706,1013.0
905.2710337254987,1006.0
905.4140756667589,979.0
905.5570834060127,994.0
905.7000568867866,994.0
905.8429960526067,1009.0
905.9859008469996,990.0
906.1287712134914,1000.0
906.2716070956085,994.0
906.4144084368771,1002.0
906.5571751808236,1009.0
906.6999072709742,987.0
906.8426046508553,1013.0
906.9852672639931,998.0
907.127895053914,998.0
907.2704879641444,994.0
907.4130459382104,1002.0
907.5555689196384,987.0
907.6980568519548,1009.0
907.8405096786856,990.0
907.9829273433575,987.0
908.1253097894964,1017.0
908.267656960629,998.0
908.4099688002814,998.0
908.5522452519799,998.0
908.6944862592509,994.0
908.8366917656206,979.0
908.9788617146153,998.0
909.1209960497613,1006.0
909.263094714585,998.0
909.4051576526126,1006.0
909.5471848073706,987.0
909.6891761223851,1006.0
909.8311315411825,1009.0
909.9730510072891,979.0
910.114934464231,1028.0
910.2567818555349,1002.0
910.3985931247267,1002.0
910.540368215333,1002.0
910.6821070708801,1006.0
910.8238096348941,990.0
910.9654758509015,994.0
911.1071056624285,1002.0
911.2486990130013,975.0
911.3902558461464,1006.0
911.53177610539,1025.0
911.6732597342584,1002.0
911.8147066762781,994.0
911.9561168749751,987.0
912.0974902738759,994.0
912.2388268165068,1006.0
912.380126446394,996.0
912.5213891070639,987.0
912.6626147420427,987.0
912.8038032948568,987.0
912.9449547090326,998.0
913.0860689280962,1002.0
913.227145895574,990.0
913.3681855549924,1002.0
913.5091878498774,998.0
913.6501527237556,1002.0
913.7910801201532,989.0
913.9319699825965,987.0
914.0728222546119,998.0
914.2136368797255,998.0
914.3544138014638,1009.0
914.4951529633531,1002.0
914.6358543089195,998.0
914.7765177816896,975.0
914.9171433251894,994.0
915.0577308829454,1017.0
915.1982803984839,1013.0
915.3387918153312,990.0
915.4792650770136,1013.0
915.6197001270573,1017.0
915.7600969089887,990.0
915.900455366334,998.0
916.0407754426196,994.0
916.1810570813718,994.0
916.321300226117,994.0
916.4615048203814,1017.0
916.6016708076912,1017.0
916.741798131573,990.0
916.8818867355527,1006.0
917.0219365631569,998.0
917.1619475579118,1006.0
917.3019196633438,998.0
917.4418528229792,998.0
917.5817469803442,983.0
917.7216020789651,1017.0
917.8614180623683,1028.0
918.00119487408,990.0
918.1409324576266,1002.0
918.2806307565344,994.0
918.4202897143296,998.0
918.5599092745387,1013.0
918.6994893806877,994.0
918.8390299763032,1009.0
918.9785310049115,994.0
919.1179924100386,987.0
919.2574141352111,1006.0
919.3967961239551,1021.0
919.5361383197971,994.0
919.6754406662634,994.0
919.8147031068802,987.0
919.9539255851738,983.0
920.0931080446705,983.0
920.2322504288967,1002.0
920.3713526813785,1006.0
920.5104147456425,1002.0
920.6494365652147,998.0
920.7884180836218,994.0
920.9273592443897,998.0
921.0662599910448,994.0
921.2051202671137,983.0
921.3439400161222,987.0
921.4827191815971,994.0
921.6214577070643,1009.0
921.7601555360504,1006.0
921.8988126120817,994.0
922.0374288786843,998.0
922.1760042793846,998.0
922.314538757709,1006.0
922.4530322571836,990.0
922.5914847213348,994.0
922.729896093689,983.0
922.8682663177724,987.0
923.0065953371114,998.0
923.1448830952322,994.0
923.2831295356611,998.0
923.4213346019246,994.0
923.5594982375487,1006.0
923.69762038606,1002.0
923.8357009909845,975.0
923.9737399958487,998.0
924.111737344179,1002.0
